Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW12282,56.722,38.599,40.957,39.999,62.914,47.675,41.85,48.785,34.316,45.06,40,48.082,26.715,61.488,49.089,75.741,38.249,56.192
ESW13032,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ESW14438,1.335,4.907,4.508,0,3.831,3.015,5.439,8.557,0,3,0,0,4.299,7.832,1.258,4.123,2.342,2.693
ESW13124,139,125.268,138.906,145.683,458.185,151.953,150.241,136.217,237.377,204,226.566,108.477,131.411,132.784,188.999,169.258,184.105,178.299
ESW14272,98,70.524,99.001,61.493,96.028,71.955,64.57,99.156,156.081,97,119,70.184,76.248,81.778,72.005,107,87.658,89.43
ESW11173,3,2,3,3,9,3,3,10,18,25.103,16.302,8,4,10.023,11.124,12.054,9.13,13
ESW11509,393.924,502.716,354.72,537.606,358.559,588.464,406.769,753.731,303.085,251.361,198.017,386.115,325.629,390.572,129.001,319.347,539.46,676.01
ESW13442,11,6.001,5,2,14,4,4.003,9,13.014,5,2,5,4,5,5,11.003,6,6
ESW13822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12216,708.546,686.403,781.919,839.666,669.986,665.35,659.589,545.034,332.132,246,295,378.883,337.674,442.112,393.018,745.585,372.436,629.051
ESW12172,0,3,0,3,0,0,0,0,0,1,1,0,2,1,0,0,1,2.002
ESW11707,340.035,319.287,370.455,297.252,292.392,425.86,282.002,421.03,324.539,244.078,249.044,381.52,346.422,419.913,217.716,381.214,347.664,441.307
ESW13982,243.384,244.65,239.652,255.265,172.635,390.56,317.992,351.182,385.867,312.021,221.475,349.904,314.715,330.787,229,323.531,284.421,263.605
ESW14300,0,0,0,1,2,0,3,0,2,3,2,1,1,1,2,1,0,0
ESW13893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13793,45,35,17,23,25.032,34,30,33,42.007,58,48,22.168,15.014,33,42,46,50.073,54.484
ESW11807,643.375,492.072,581.549,652.038,885.868,708.201,599.209,772.824,712.193,533,514.365,628.526,594.032,781.844,572.981,742.118,556.358,541.833
ESW13624,68.207,46.135,53.174,88.056,41,69,47.236,130.098,13,10,10,56,46,50.03,10,32,87.995,114.032
ESW14404,386.3,307.45,368.838,344.14,274.012,498.661,353.939,428.521,442.247,352,317.114,379.726,399.17,403.454,283.19,417.882,327.389,429.137
ESW12979,1202.221,1345.717,912.503,1839.509,1203.431,1376.284,1287.905,1553.113,958.01,594.353,635.291,957.346,969.096,873.852,815.348,1174.279,891.339,1188.326
ESW14453,24,44,30.141,35,26,43.403,31.009,40.221,52,37,36.99,46.123,26.41,34.459,34,42.033,45.408,35.54
ESW14359,7,1,2.15,0,0,3,1,0,3,3,1,5,3,13,0,2.179,0,1
ESW13598,139.041,101.067,126.111,78.958,117.685,90.787,62.527,138.65,74.757,67.088,60.508,124.177,97.805,159.632,50.237,108.692,155.659,152.047
ESW11871,103,72.592,119.17,94.485,192.347,86.048,54.044,95.133,96.876,84,85,107.104,83.368,92.295,84,103.153,77.143,118.509
ESW12758,355.966,222.638,561.572,63.289,439.331,83.691,111.153,162.681,57.387,69,91,77,64.42,73.176,128.124,298.093,258.781,213.706
ESW13727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
